Accepted scientific name of species ,Common.Name,Vernacular.Name,Growth.Habit,Duration,Group,Source
Plumeria rubra L.,Common White Frangipani,"Khagi leihao (mni); Gulabi gulachin (hin); Sampangi (tam); Kathgolop (ben); Chaempae (knn); Choya Phool, Galainchee (npi)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Poa annua L.,Annual Bluegrass,Wainu chara (mni),Graminoid,Annual,Monocot,TRY;NRCS
Poa pratensis L.,Kentucky Bluegrass,,Graminoid,Perennial,Monocot,TRY;NRCS
Podocarpus latifolius (Thunb.) R.Br. ex Mirb.,Real Yellowwood,,Tree,Perennial,Gymnosperm,TRY;DG
Podranea ricasoliana (Tanfani) Sprague,Port St Johns Creeper,,Vine,Perennial,Dicot,NRCS
Polyalthia longifolia (Sonn.) Thwaites,"Ashok, False Ashok, Mast Tree",Naramamidi (tel),Tree,Perennial,Dicot,TRY;FOI
Polycarpaea corymbosa (L.) Lam.,Oldman'S Cap,"Bugyale (hin); Koyap, Maitosin (mar); Nilaisedachi, Cataicciver, Pallippuntu (tam); Katu-mailosina (mal); Bommasari, Rajuma (tel); paade mullu gida, poude mullu, poude mullu gida (kan); Bhisatta, Okharadi, Parpata, Tadagamritikodbhava (san)",Herb,Annual,Dicot,TRY;NRCS
Polycarpon tetraphyllum (L.) L.,Fourleaf Allseed,,Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Polygala lancifolia A.St.-Hil. & Moq.,,,Shrub,Perennial,Dicot,FPI
Polygala myrtifolia L.,Myrtle-Leaf Milkwort,,Shrub,Perennial,Dicot,NRCS
Polygonum aviculare L.,Common Knotgrass,"Bannalia, bigbund, bijband, endrani, hisonali, hunraj, kuwar, machoti, nisomali (hin); miromati, nisomali (san); bikh anjabar (urd)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Polygonum maritimum L.,Sea Knotgrass,,Herb,Annual;Perennial,Dicot,NRCS
Polypogon monspeliensis (L.) Desf.,Annual Beard Grass,,Graminoid,Annual,Monocot,TRY;NRCS
Polyscias cumingiana (C.Presl) Fern.-Vill.,Malaysian Aralia,,Shrub,Perennial,Dicot,NRCS
Polytrias indica (Houtt.) Veldkamp,,,Graminoid,Perennial,Monocot,TRY;NRCS
Pomaderris apetala Labill.,Dogwood ,,Tree,Perennial,Dicot,FOI
Pontederia cordata L.,Pickerel Weed,,Herb,Perennial,Monocot,NRCS
Populus alba L.,Silver-Leaf Poplar,,Tree,Perennial,Dicot,NRCS
Portulaca oleracea L.,Purslane,Lunia (hin); Leibak kundo (mni); Paruppu keerai (tam); Koluppa (mal); Dudagorai (kan); Nunia sag (ben); Hlo-thau (lus),Herb,Annual,Dicot,TRY;NRCS
Portulaca pilosa L.,Kiss Me Quick,"Gedde geni soppu (kan); Koli mulaiyan, koli munaiyan, Mukkuli keerai (tam); Boddakoora (tel)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Portulaca quadrifida L.,Chicken Weed,"Goli soppu, Goni soppu (kan); Pasalai keerai (tam); Goddu pavelli (tel)",Herb,Annual,Dicot,TRY;NRCS
Potamogeton berchtoldii Fieber,Small Pondweed,,Herb,Perennial,Monocot,NRCS
Potamogeton crispus L.,Curled Pondweed,,Herb,Perennial,Monocot,TRY;NRCS
Potamogeton pusillus L.,Small Pondweed,,Herb,Perennial,Monocot,NRCS
Potamogeton trichoides Cham. & Schltdl.,Hairlike Pondweed,,Herb,Perennial,Monocot,IBP
Primula malacoides Franch.,Fairy Primrose,,Herb,Annual;Biennial;Pernnial,Dicot,TRY;FOI
Primula obconica Hance,Poison Primrose,,Herb,Perennial,Dicot,FOI
Pritchardia pacifica Seem. & H.Wendl.,Fiji Fan Palm,,Palm,Perennial,Monocot,FOI
Proiphys amboinensis (L.) Herb.,Cardwell Lily,,Herb,Perennial,Monocot,NRCS
Prosopis chilensis (Molina) Stuntz,Chilean Mesquite,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Prosopis glandulosa Torr.,Honey Mesquite,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Prosopis juliflora (Sw.) DC.,Algaroba,"Junglee kikar, Vilayati babul (hin)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Prosopis pallida (Willd.) Kunth,Mesquite,,Shrub;Tree,Perennial,Dicot,NRCS
Prosopis velutina Wooton,Velvet Mesquite,,Shrub;Tree,Perennial,Dicot,NRCS
Prunus armeniaca L.,Apricot,"Khubani (hin); Aepricot, Jaradaalu (kan); Chuli (lbj); urumana (san); Khubani, Maghz badam shirin (urd); Malhei (mni)",Tree,Perennial,Dicot,TRY;NRCS
Prunus avium (L.) L.,Sweet Cherry,,Tree,Perennial,Dicot,NRCS
Prunus campanulata Maxim.,"Bellflower Cherry, Formosan Cherry, Taiwan Cherry",,Tree,Perennial,Dicot,DG
Prunus laurocerasus L.,Cherry Laurel,,Shrub;Tree,Perennial,Dicot,NRCS
Prunus mahaleb L.,Mahaleb Cherry,,Shrub;Tree,Perennial,Dicot,NRCS
Pseudelephantopus spicatus (Juss.) R.Br.,Dog'S-Tongue,,Herb,Perennial,Dicot,TRY;NRCS
Pseuderanthemum carruthersii (Seem.) Guillaumin,Purple False Eranthemum,,Shrub,Perennial,Dicot,NRCS
Pseuderanthemum cinnabarinum (Wall.) Radlk. ex Lindau,,,Herb,Perennial,Dicot,POWO
Pseudofumaria lutea (L.) Borkh.,Rock Fumewort,,Herb,Perennial,Dicot,NRCS
Psidium guajava L.,Guava,"Madhuri aam (asm); Peyara (ben); jaamkal, jamrukh (guj); Amrood (hin); Perale, Seebi (kan); Pairr (knn); Pera (mal); Pungton (mni); Jamba, Perunjaam, Tupkel (mar); amba, bihi (npi); Segappu koyyaa (tam); Goyyapandu (tel); Amrud (urd); Kawlthei (lus)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Psophocarpus scandens (Endl.) Verdc.,Tropical African Winged Bean,,Herb;Vine,Perennial,Dicot,FPI
Psoralea pinnata L.,African Scurf Pea,,Shrub;Tree,Perennial,Dicot,FPI
Pterocymbium tinctorium Merr.,"Winged Boot Tree, Bellflower Sterculia ",,Tree,Perennial,Dicot,FOI
Ptychosperma elegans (R.Br.) Blume,Solitaire Palm,,Tree,Perennial,Monocot,NRCS
Pueraria montana (Lour.) Merr.,Kudzu Vine,,Herb;Vine,Perennial,Dicot,NRCS
Punica granatum L.,Pomegranate,"Anar (hin); Daalimbe, Daalimba, Daadimbe, Daadimba, Daadima (kan); Kaphoi (mni); Dalimb (mar); Theibuhfai, Manding (lus); Danimma (tel); Madulai (tam); Anar (urd)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Pupalia lappacea (L.) Juss.,"Forest Burr, Creeping Cock'S Comb","Nagadaminee, Undho bhurat, Chirchitta (hin); adai-otti, perunkotiveli, napikai, valiyakkotiveli (tam); pu-pal-valli, wellia-codiveli (mal); erra utthareni, thella utthareni, yerri chithramoolam (tel); antupurale gida, naagadamani (kan); Sitya kurdi (knn)",Herb,Perennial,Dicot,TRY;FOI
Pycnostachys speciosa Gürke,,,Shrub,Perennial,Dicot,FPI
Pycreus pumilus (L.) Nees,,Mustaka (san),Graminoid,Annual,Monocot,FPI
"Pyrolirion arvense (F.Dietr.) Erhardt, Götz & Seybold",,,Herb,Perennial,Monocot,POWO
Quercus baloot Griff.,Holm Oak,,Tree,Perennial,Dicot,FPI
Quercus coccifera L.,Kermes Oak,,Tree,Perennial,Dicot,DG
Quercus ilex L.,Holm Oak,,Tree,Perennial,Dicot,NRCS
Quercus robur L.,English Oak,"Mayaphala (ori); macakkay, mayakkay (tam)",Tree,Perennial,Dicot,NRCS
Quillaja saponaria Poir.,"Cullay, Killaya, Murillo'S Bark, Soap Bark Tree",,Tree,Perennial,Dicot,NRCS;IBP
Ranunculus aquatilis L.,White Water Crowfoot,,Herb,Perennial,Dicot,NRCS
Raphanus raphanistrum L.,Wild Radish,Mula (mar); Mula (ori); Mullangi (tam),Herb,Annual;Biennial,Dicot,TRY;NRCS
Raphionacme hirsuta (E.Mey.) R.A.Dyer, False Gentian,,Herb,Perennial,Dicot,DG
Rauvolfia tetraphylla L.,Wild Snake Root,"Barachandrika, Chandrabhaga (hin); Pampukaalaachchedi (tam); Pampumkolli, Kattamalpori (mal); papataku (tel); Dodda chandrike (kan); bar chandrika, gandhanakuli (ben); patalagarudi (ori); Vanasarpagandha, Sarpanasini (san)",Shrub,Perennial,Dicot,TRY;NRCS
Reseda luteola L.,Weld,,Herb,Biennial,Dicot,TRY;NRCS
Reynoutria sachalinensis (F.Schmidt) Nakai,"Giant Knotweed, Sakhalin Knotweed",,Herb,Perennial,Dicot,NRCS
Rhamnus cathartica L.,Buckthorn,,Shrub;Tree,Perennial,Dicot,NRCS
Rhamnus persica P.Lawson,,,Shrub;Tree,Perennial,Dicot,POWO
Rheum rhaponticum L.,False Rhubarb,,Herb,Perennial,Dicot,NRCS
Rhodanthe chlorocephala (Turcz.) Paul G.Wilson,"Rosy Everlasting, Rosy sunray, Pink paper daisy, Pink-and-white everlasting",,Herb,Annual,Dicot,NRCS
Rhodanthe manglesii Lindl.,Pink Sunray,,Herb,Annual,Dicot,DG
Rhynchosia minima (L.) DC.,Burn-Mouth Vine,"Kulata, kulthi (hin); dhakta ranghevada (mar); kali-y-an-tuvarai, kattu-k-koli, thuvaraivakai (tam); gaddi-chikkudu (tel); bettadavare, ghattadavare (kan); mraalu vudathpani (ori)",Shrub;Vine,Perennial,Dicot,TRY;NRCS
Richardia brasiliensis Gomes,White-Eye,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Richardia scabra L.,Rough Mexican Clover,,Herb,Annual,Dicot,TRY;NRCS
Ricinus communis L.,Castor Bean Plant,Jada (ori); Amudamu (tel),Herb;Shrub,Annual;Perennial,Dicot,TRY;NRCS
Rivina humilis L.,Blood Berry,Rakthanelli (mal),Herb;Shrub,Perennial,Dicot,NRCS
Robinia pseudoacacia L.,White Locust Tree,,Tree,Perennial,Dicot,TRY;NRCS
Romneya coulteri Harv.,Matilija Poppy,,Shrub,Perennial,Dicot,TRY;NRCS
Rorippa dubia (Pers.) H.Hara,Diverse-Leaf Yellow Cress,,Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Rorippa islandica (Oeder) Borbás,Marsh Yellow Cress,,Herb,Annual;Biennial,Dicot,NRCS
Rosa canina L.,Dog Rose,,Shrub;Vine,Perennial,Dicot,NRCS
Rosa cathayensis (Rehder & E.H.Wilson) L.H.Bailey,Multiflora Rose,Jungli gulab (hin),Shrub;Vine,Perennial,Dicot,NRCS
Rosa chinensis Jacq.,China Rose,Hara gulab (hin),Shrub;Vine,Perennial,Dicot,TRY;NRCS
Rosa cymosa Tratt.,,,Shrub;Vine,Perennial,Dicot,EOL
Rosa laevigata Michx.,Cherokee Rose,,Shrub;Vine,Perennial,Dicot,TRY;FOI
Rosa moschata Mill.,Musk Rose,Ban gulab (hin); shatapatri (ori); kubjaka (san),Shrub;Vine,Perennial,Dicot,TRY;NRCS
Rosa multiflora Sims,Multiflora Rose,,Shrub;Vine,Perennial,Dicot,TRY;NRCS
Rosa sempervirens L.,Nilgiri Climbing Rose,Kattursoa (mal),Shrub;Vine,Perennial,Dicot,NRCS
Rosa setigera Michx.,Climbing Rose,,Shrub;Vine,Perennial,Dicot,NRCS
Rotala densiflora (Roth) Koehne,Dense-Flowered Rotala,Piaingaga duba (ori),Herb,Annual,Dicot,FOI
Rotala indica (Willd.) Koehne,Indian Toothcup,Badbadi (ori),Herb,Annual,Dicot,NRCS
Rubus buergeri Miq.,,,Shrub;Vine,Perennial,Dicot,EOL
Rubus moluccanus L.,Wild Raspberry,Katsol (hin); Jutuli poka (Asssamese); Shumukan khasheba (guj); Bipemkanta (npi),Shrub,Perennial,Dicot,NRCS;FOI
Rubus ulmifolius Schott,Elm-Leaf Blackberry,,Shrub;Vine,Perennial,Dicot,NRCS
Rudbeckia maxima Nutt.,"Cabbage Leaf Coneflower, Giant Brown-Eyed Susan, Great Coneflower",,Herb,Perennial,Dicot,NRCS
Ruellia elegans Poir.,"Brazilian Petunia, Elegant Ruellia, Wild Petunia",,Shrub,Perennial,Dicot,FOI
Ruellia simplex C.Wright,Desert Petunia,,Herb,Perennial,Dicot,NRCS
Ruellia tuberosa L.,Minnie Root,"Ruwel (mar); Tapas kaaya, Chetapatakaayala (tam)",Herb,Perennial,Dicot,TRY;NRCS
Ruellia tweediana Griseb.,Desert Petunia,,Herb,Perennial,Dicot,TRY;NRCS
Rumex acetosella L.,Sheep Sorrel,,Herb,Perennial,Dicot,TRY;NRCS
Rumex aquaticus L.,Western Doc,,Herb,Perennial,Dicot,NRCS
Rumex conglomeratus Murray,Cluster Dock,,Herb,Perennial,Dicot,NRCS
Rumex crispus L.,Curly Dock,,Herb,Perennial,Dicot,TRY;NRCS
Rumex obtusifolius L.,Broad-Leaved Dock,,Herb,Perennial,Dicot,NRCS
Rumex paulsenianus Rech.f.,,,Herb,Perennial,Dicot,POWO
Russelia floribunda Kunth," Fountainbush, Firecracker",,Shrub,Perennial,Dicot,POWO
Sabal minor (Jacq.) Pers.,Dwarf Palmetto,,Shrub;Tree,Perennial,Monocot,NRCS
Saccharum spontaneum L.,Kans Grass,Rellu gaddi (tel),Graminoid,Perennial,Monocot,TRY;NRCS
Sagina procumbens L.,Birdeye Pearlwort,,Herb,Perennial,Dicot,NRCS
Sagina saginoides (L.) H.Karst.,Arctic Pearlwort,,Herb,Biennial;Perennial,Dicot,NRCS
Sagittaria latifolia Willd.,Broadleaf Arrowhead,,Herb,Perennial,Monocot,TRY;NRCS
Sagittaria sagittifolia L.,Arrow Head,Chhotokut (ben); Koukha (mni); Pani kachu (asm),Herb,Perennial,Monocot,NRCS;FOI
Salix alba L.,White Willow,Vir (kas),Tree,Perennial,Dicot,TRY;NRCS
Salix babylonica L.,Weeping Willow,,Tree,Perennial,Dicot,TRY;NRCS
Salix cinerea L.,Grey Sallow,,Shrub;Tree,Perennial,Dicot,NRCS
Salvia elegans Vahl,"Salvia Species, Elegant Sage, Pineapple Sage",,Herb,Perennial,Dicot,NRCS;FOI
Salvia glechomifolia Kunth,Ground Ivy Sage,,Herb,Perennial,Dicot,https://www.journals.uchicago.edu/doi/10.1086/709133;accessed on: 31 May 2020
Salvia involucrata Cav.,"Rose Leaf Sage, Rosebud Sage",,Herb,Perennial,Dicot,FOI
Salvia melissodora Lag.,Baby Sage,,Shrub,Perennial,Dicot,NRCS
Salvia patens Cav.,"Gentian Sage, Spreading Sage 'Alba'",,Herb,Perennial,Dicot,NRCS;EOL
Salvia plebeia R.Br.,Sage Weed,"Kamrkash, Samundarsok, Sathi (hin); kachora (kan); pulam-kizhanma (mal); samudraphala, shati, vrddhadaru (san); Chimaikkarppuram, kasturimanjal (tam); kachoralu, kichili-baddalu (tel)",Herb,Annual;Biennial,Dicot,FOI
Salvia sclarea L.,Clary Sage,Bahman safaid (urd),Herb,Biennial,Dicot,NRCS
Salvia uliginosa Benth.,"Blue Spike Sage, Bog Sage",,Herb,Perennial,Dicot,DG
Salvia verbenaca L.,Wild Clary,,Herb,Perennial,Dicot,NRCS
Salvinia adnata Desv.,Kariba Weed,,Herb,Annual;Perennial,Fern,TRY;FPI
Salvinia natans (L.) All.,Floating Fern,,Herb,Annual;Perennial,Fern,TRY;NRCS
Sambucus nigra L.,Elder,,Shrub;Tree,Perennial,Dicot,NRCS
Sanchezia parvibracteata Sprague & Hutch.,Sanchezia,,Shrub,Perennial,Dicot,DG
Sandoricum koetjape (Burm.f.) Merr.,Santol,"Sayai, Sevai (tam)",Tree,Perennial,Dicot,NRCS;FOI
Sansevieria hyacinthoides (L.) Druce,African Bowstring Hemp,,Herb;Shrub,Perennial,Monocot,TRY;NRCS
Sansevieria zeylanica (L.) Willd.,"Ceylon Bowstring Hemp, Devil'S Tongue",,Shrub,Perennial,Monocot,DG
Santolina chamaecyparissus L.,Lavender Cotton,,Shrub,Perennial,Dicot,TRY;NRCS
Sapindus saponaria L.,Western Soapnut,,Shrub;Tree,Perennial,Dicot,NRCS
Saponaria officinalis L.,Common Soapwort,,Herb,Perennial,Dicot,NRCS
Satureja hortensis L.,Summer Savory,,Herb,Perennial,Dicot,NRCS
Saxifraga stolonifera Curtis,Strawberry Begonia,,Herb,Perennial,Dicot,NRCS
Scadoxus puniceus (L.) Friis & Nordal,"Paintbrush Lily, Royal Lily, Snake Lily",,Bulb,Perennial,Monocot,DG
Scaevola taccada (Gaertn.) Roxb.,Half Flower,"Bhadraak (kan); bhadraaksham, vellamodakam (mal); bhadrak, bhadraksh (mar)",Shrub,Perennial,Dicot,NRCS
Scandix stellata Banks & Sol.,Stern Venuskamm,,Herb,Annual,Dicot,FPI
Schaueria calicotricha (Link & Otto) Nees,Golden Plume,,Shrub,Perennial,Dicot,DG
Schefflera arboricola (Hayata) Merr.,Dwarf Umbrella Tree,,Shrub;Tree,Perennial,Dicot,NRCS
Schefflera elegantissima (Veitch ex Mast.) Lowry & Frodin,False Aralia 'Galaxy',,Shrub;Tree,Perennial,Dicot,DG
Schizanthus pinnatus Ruiz & Pav.,Butterfly Flower,,Herb,Annual;Biennial,Dicot,NRCS
Schotia brachypetala Sond.,"African Walnut, Tree Fuchsia, Weeping Boer-Bean",,Tree,Perennial,Dicot,FOI
Schouwia purpurea (Forssk.) Schweinf.,Schouwia,,Herb,Annual,Dicot,FPI
Scleranthus annuus L.,German Knotgrass,,Herb,Annual,Dicot,NRCS
Sclerocarpus africanus Jacq. ex Murray,African Bonebract,,Herb,Annual,Dicot,TRY;NRCS
Scoparia dulcis L.,Sweet Broom Weed,"Mithi patti, Ghoda tulsi (hin); Mrigandi (kan); Sarakkotthini (tam); Bon dhonya (ben); Paataal Mishree, Chinee Jhaar, Mirmire Jhaar, Salle Jhaar, Mithaa Jhaar (npi); Perhpawngchaw (lus)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Scorzonera hispanica L.,Black Salsify,,Herb,Perennial,Dicot,NRCS
Scrophularia peregrina L.,Mediterranean Figwort,,Herb,Annual,Dicot,NRCS
Searsia lancea (L.f.) F.A.Barkley,Karee,,Tree,Perennial,Dicot,TRY;NRCS
Searsia tomentosa (L.) F.A.Barkley,Bicoloured Currant,,Tree,Perennial,Dicot,EOL
Sedum acre L.,Goldmoss Stonecrop,,Herb,Perennial,Dicot,NRCS
Sedum mexicanum Britton,Mexican Stonecrop,,Herb,Perennial,Dicot,NRCS
Sedum sarmentosum Bunge,Stringy Stonecrop,,Herb,Perennial,Dicot,NRCS
Seemannia sylvatica (Kunth) Baill.,"Bolivian Sunset Gloxinia, Hardy Gloxinia ",,Shrub,Perennial,Dicot,FOI
Selenicereus testudo (Karw. ex Zucc.) Buxb.,Dog-Tail Cactus,,Vine,Perennial,Dicot,DG
Senecio articulatus (L.f.) Sch.Bip.,"Candle Plant, Causage Plant, Hot Dog Cactus",,Shrub,Perennial,Dicot,FPI
Senecio sempervivus Sch.Bip.,,,Shrub,Perennial,Dicot,FPI
Senecio vestitus Sweet ex Steud.,Groundsel,,Herb,Annual;Perennial,Dicot,EOL
Senecio vulgaris L.,Common Groundsel,,Herb,Annual;Biennial,Dicot,TRY;NRCS
Senegalia mellifera (Benth.) Seigler & Ebinger,Black Thorn,,Tree,Perennial,Dicot,NRCS;FOI
Senna alata (L.) Roxb.,Candle Bush,"Khorpat (asm); Dadmurdan, Dadmari (hin); daddumardu, dahvala, dhavala gida (kan); Simayakatti, Puzhukkadikonna, Malamthakara, Chakrathakara (mal); Daopatta achouba (mni); Seemaiagathi (tam); Tuihlo (lus)",Shrub,Perennial,Dicot,TRY;NRCS
Senna bicapsularis (L.) Roxb.,Christmas Bush,,Shrub;Vine,Perennial,Dicot,TRY;NRCS
Senna didymobotrya (Fresen.) H.S.Irwin & Barneby,Popcorn Cassia,Dao patta (mni),Shrub,Perennial,Dicot,TRY;NRCS
Senna fruticosa (Mill.) H.S.Irwin & Barneby,,,Shrub;Tree,Perennial,Dicot,FPI
Senna hirsuta (L.) H.S.Irwin & Barneby,Woolly Cassia,"Adavi thangadi (kan); ponnaaveeram (mal); thounam (mni); malaiyavarai, malaiyavaram, malaiyavirai (tam); nugu tangedu (tel)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Senna insularis (Britton & Rose) H.S.Irwin & Ba,,,Herb,Perennial,Dicot,POWO
Senna multiglandulosa (Jacq.) H.S.Irwin & Barneby,Buttercup Bush,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Senna obtusifolia (L.) H.S.Irwin & Barneby,Sicklepod,"Panwar, Chakunda, Chakvat (hin); Sakramardakam, Takara (mal); takala, takla (mar); Chiru takarai, senavu, sirudagarai (tam); tagirise, tantemu, tantiyamu (tel)",Herb;Shrub,Annual;Perennial,Dicot,TRY;NRCS
Senna occidentalis (L.) Link,Coffee Senna,"Kasunda, Bari kasondi (hin); ran-takda, kasivda, kasoda, rankasvinda (mar); Nattam takarai, Payaverai (tam); Mattantakara (mal); Thangedu (tel); Kolthogache, Aane chogate (kan); Kalkashunda (ben); Kasundri (ori); Kasonji (urd); Hant-thenga (asm); Kasundri (guj); Kasamarda, Vimarda, Arimarda (san); Reng-an (lus)",Shrub,Annual;Perennial,Dicot,TRY;NRCS
Senna planitiicola (Domin) Randell,Arsenic Bush,,Shrub,Perennial,Dicot,TRY
Senna polyphylla (Jacq.) H.S.Irwin & Barneby,Desert Cassia,,Shrub;Tree,Perennial,Dicot,NRCS
Senna septemtrionalis (Viv.) H.S.Irwin & Barneby,Arsenic Bush,Thounam (mni),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Senna sophera (L.) Roxb.,Sophera Senna,"Kasaunda, Kasaundi (hin); Thounam (mni); Kashawada (mar); Poonaverie (tam); Pydee tanghadu (tel); Reng-an-chi-khat (lus)",Shrub,Perennial,Dicot,TRY;NRCS
Senna spectabilis (DC.) H.S.Irwin & Barneby,Spectacular Cassia,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Senna tora (L.) Roxb.,Stinking Cassia,"Bon medelua, Dari diga, Medeluwa (asm); Panevar, Chakunda (ben); Panwar, Chakunda, Chakvat (hin); Chagate, Chagache, Chagacche, Chakramarda, Chakramardaka, Karavasa (kan); Sakramardakam (mal); Thounam namthibi (mni); Takla, Tankala (mar); kelbe (lus); chakunda (ori); Prapunnaad, Edagaj, Dadrughna, Chakramardak, Padmaat, Uranaakhya (san); Senavu (tam); Panwar, Panevar, Tarota (urd)",Herb,Perennial,Dicot,TRY;NRCS
Senna uniflora (Mill.) H.S.Irwin & Barneby,Oneleaf Senna,,Herb,Annual;Perennial,Dicot,NRCS
Sesamum radiatum Schumach. & Thonn.,,,Herb,Annual,Dicot,NRCS;EOL
Sesbania bispinosa (Jacq.) W.Wight,Prickly Sesban,"Dhaincha, Ikad, Dadon, Daden (hin); Dhaincha, Daincha, Mullu jeenangi (kan); Kedangu (mal); Bhuiavali, Chinchani, Kansevari, Ran-Shevri (mar); mutcempai, uravi (tam) ",Shrub,Annual;Perennial,Dicot,NRCS
Sesbania cinerascens Baker,,,Tree,Perennial,Dicot,EOL
Sesbania sesban (L.) Merr.,Egyptian River Hemp ,Jayanti (hin); Jeenangi (kan); Thaitimul (ori); shewarie (mar); samintha (tel); Jayantika (san),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Sesbania speciosa Taub.,,,Herb;Shrub,Annual;Biennial,Dicot,NRCS;EOL
Sesuvium portulacastrum (L.) L.,Sea Purslane,"Dhapa (mar); orputu, vankaravacci (tam); vangaredukura (tel); jadu palang (ben)",Herb,Perennial,Dicot,TRY;NRCS
Setaria palmifolia (J.Koenig) Stapf,Palm Grass,Baanspaate Kaaguno (npi); Hnahhrat (lus),Graminoid,Perennial,Monocot,NRCS
Setaria parviflora (Poir.) M.Kerguelen,Knotroot Foxtail,,Graminoid,Perennial,Monocot,TRY;NRCS
Setaria poiretiana (Schult.) Kunth,,,Graminoid,Perennial,Monocot,NRCS
Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex Moss,African Bristlegrass,,Graminoid,Perennial,Monocot,TRY;NRCS
Setaria verticillata (L.) P.Beauv.,Bristly Foxtail,"Laptuna, Latkaunya (hin); Amarippul, Chankari, Chataippul (tam); Chigirinta gaddi, Chikilinta gaddi (tel)",Graminoid,Annual,Monocot,TRY;NRCS
Sida acuta Burm.f.,Common Wireweed,"Baraira (hin); Bala (san); Bheemana kaddi, Visha kaddi (kan); Chikana (mar); Ariva?manaip pu??u, Palambasi (tam); Muttavapulagamu (tel); Sunakhodika (ori); Malatanni Shiruparuva (mal); Balu Jhaar, Kuro, Saano Chilya (npi); Khingkhih (lus)",Herb;Shrub,Perennial,Dicot,TRY;NRCS
Sida cordata (Burm.f.) Borss.Waalk.,Long-Stalk Sida,"Bhuinii (hin); Bhumi petari, Bhoybal (mar); Kurunthotti, Palampasi, Mayirmanikkam (tam); kuruntotti, nela-vaga (mal); benda, gayapaku, tirunala (tel); bekkinathale gida (kan); Bhoybala (guj); bhumibala, nagabala (san); Balu Jhaar, Balu, Naagbalaa, Jaaree Jhaar, Bish Khapre (npi)",Herb,Perennial,Dicot,TRY;NRCS
Sida cordifolia L.,Heart-Leaf Sida,"Bor Sonborial (asm); Berela (ben); Kharinta, Barial (hin); Chittuharalu, Benne garaga, Hettuti-gida (kan); Katturam (mal); Bala, Chikana, Tupkaria (mar); Bajromuli (ori); Badiyalaka, Bala, Baladhya (san); Bariyar, Balu (npi)",Herb;Shrub,Annual;Perennial,Dicot,TRY;NRCS
Sida linifolia Juss. ex Cav.,Flaxleaf Fanpetals,,Herb;Shrub,Perennial,Dicot,NRCS
Sida rhombifolia L.,Jelly Leaf,"Sahadeva (hin); Kallangadale, Bolangadale, Atibalaa (kan); Uhal ukabi (mni); Kurundotti (tam); Vankuruntotti (mal); Svetbarela (ben); Baladana (guj); Sadeda (mar); Boriala (asm); Kelchawngi-mai, Khingkhih-chi-khat (lus); Sano chilya (npi)",Herb;Shrub,Annual;Perennial,Dicot,TRY;NRCS
Sida spinosa L.,Prickly Fan-Petals,"Bariyara, Gulkasari (hin); Kadumenthya (kan); Naagbala, Tera nella benda, Mayalu manickyam (tel); Bajramuli, Nindilat (ori); Mahabala (san); Aanakurunthotti, Aanathuthi, Kattaventhiyam, Mayiramanikkam, Mayirmanikkam, Valiya-oorakam (mal)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Sidastrum micranthum (A.St.-Hil.) Fryxell,Dainty Sand Mallow,,Herb;Shrub,Perennial,Dicot,FOI
Sigesbeckia orientalis L.,St Paul'S Wort,"Pili badakdi (guj); gobariya (hin); antu huvina gida (kan); katampoo (mal); katampu (mar); dudhe jhaar, gobre jhaar, nauni patra (npi); katampam (tam); katampam, rekkala ravi (tel); Ansapui-suak (lus)",Herb,Annual,Dicot,NRCS
Silene armeria L.,None-So-Pretty,,Herb,Annual,Dicot,TRY;NRCS
Silene conoidea L.,Cone Campion,,Herb,Annual,Dicot,TRY;NRCS
Silene coronaria (Desr.) Clairv. ex Rchb.,Rose Campion,,Herb,Perennial,Dicot,NRCS
Silene gallica L.,Five-Wounded Catchfly,,Herb,Annual;Biennial,Dicot,TRY;NRCS
Silene latifolia Poir.,Bladder Campion,,Herb,Biennial;Perennial,Dicot,TRY;NRCS
Silene noctiflora L.,Night-Flowering Catchfly,,Herb,Annual,Dicot,NRCS
Silene vulgaris (Moench) Garcke,Bladder Campion,,Herb,Perennial,Dicot,NRCS
Silybum marianum (L.) Gaertn.,Milk Thistle,"Dudhpattra, garda-marda bhuss (dgo)",Herb,Annual;Biennial,Dicot,NRCS
Sinapis arvensis L.,Wild Mustard,,Herb,Annual,Dicot,NRCS
